Listing_ID,Type,Address,Price,Price_Per_M2,Area,Rooms,Bathrooms,Floor,Year_Built,Finish,View,Seller_Type,Amenities,Description,Link,Amenities_Count,Is_Installments
EG-6899944,Apartment,cairo new cairo compounds veloria compound regency,3700000.0,38947.0,95.0,2 rooms,1 bathroom,1.0,2026.0,1,Garden,Developer,Garden,Your luxuriously designed apartment in the prestigious VELORIA Compound in New Cairo,https://aqarmap.com.eg/en/listing/6899944-for-sale-cairo-new-cairo-compounds-veloria-compound-regency/,1,1
EG-6899751,Apartment,cairo new cairo compounds mwrd fq llttwyr,12500000.0,58140.0,215.0,3 rooms,3 bathroom,2.0,2026.0,1,Plaza,Developer,"Elevator, Water Meter, Security, Balcony",Apartments For sale in Amorada Compound - Afaq with size 215 M² View Plaza,https://aqarmap.com.eg/en/listing/6899751-for-sale-cairo-new-cairo-compounds-mwrd-fq-llttwyr/,4,1
EG-6897894,Commercial,cairo 6th of october hadaeq october tryq hmd zwyl,6432140.0,142936.0,45.0,,,1.0,2029.0,1,Main Street,Broker,"Water Meter, Security, Parking, Garden",Shops For sale in Ahmed Zewail Rd with size 45 M² View Main Street,https://aqarmap.com.eg/en/listing/6897894-for-sale-cairo-6th-of-october-hadaeq-october-tryq-hmd-zwyl/,4,1
EG-6899247,Apartment,cairo new cairo bait el watan first neighborhood,4977500.0,25526.0,195.0,3 rooms,3 bathroom,1.0,2026.0,1,Main Street,Developer,,Apartments For sale in First Neighborhood with size 195 M² View Main Street,https://aqarmap.com.eg/en/listing/6899247-for-sale-cairo-new-cairo-bait-el-watan-first-neighborhood/,0,0
EG-6896276,Office,cairo new cairo compounds mivida mivida business park emaar,130000000.0,246212.0,528.0,,,0.0,,1,Main Street,Broker,,Admin space for sale 528 sqm in Mivida Business Park - Fifth Settlement,https://aqarmap.com.eg/en/listing/6896276-for-sale-cairo-new-cairo-compounds-mivida-mivida-business-park-emaar/,0,0
EG-6743737,Duplex,cairo new cairo compounds kmbwnd kryk twn il cazar,17800000.0,91282.0,195.0,3 rooms,4 bathroom,1.0,2026.0,1,Garden,Developer,Garden,"A duplex with a private garden is available for sale in Creek Town Compound, located in New Cairo's Fifth Settlement.",https://aqarmap.com.eg/en/listing/6743737-for-sale-cairo-new-cairo-compounds-kmbwnd-kryk-twn-il-cazar/,1,1
EG-6848456,Apartment,cairo elnozha el nozha el gedida,4600000.0,27879.0,165.0,,,,,1,Side Street,Private Owner,,🏠شقة بالنزهة الجديدة موقع مميز و عماره تشطيب راقي، ممتاز💥,https://aqarmap.com.eg/en/listing/6848456-for-sale-cairo-elnozha-el-nozha-el-gedida/,0,0
EG-6884459,Penthouse,cairo heliopolis el marghany el sayed el merghany st,22000000.0,27500.0,800.0,5 rooms,5 bathroom,11.0,2000.0,1,Side Street,Broker,,بنتهاوس For sale in El Sayed El Merghany St.,https://aqarmap.com.eg/en/listing/6884459-for-sale-cairo-heliopolis-el-marghany-el-sayed-el-merghany-st/,0,0
EG-6899398,Office,cairo new administrative capital r3 jade park compound city edge,38000000.0,395833.0,96.0,,,,2020.0,1,Main Street,Broker,,Pharmacy For sale in Jade Park Compound - City Edge with size 96 M² View Main Street,https://aqarmap.com.eg/en/listing/6899398-for-sale-cairo-new-administrative-capital-r3-jade-park-compound-city-edge/,0,1
EG-6899219,Apartment,cairo nasr city el hay el asher ahmed el zomor,2700000.0,23478.0,115.0,2 rooms,1 bathroom,2.0,2027.0,1,Side Street,Broker,,Apartment For sale in Ahmed El Zomor St.,https://aqarmap.com.eg/en/listing/6899219-for-sale-cairo-nasr-city-el-hay-el-asher-ahmed-el-zomor/,0,1
EG-6897882,Office,cairo 6th of october hadaeq october tryq hmd zwyl,1955993.0,57529.0,34.0,1 rooms,1 bathroom,3.0,2029.0,1,Main Street,Broker,"Elevator, Water Meter, Electricity Meter, Security, Parking","Semi Finished Offices in Ahmed Zewail Rd with size 34 M² View Main Street Semi Finished, third floor, one rooms, one baths",https://aqarmap.com.eg/en/listing/6897882-for-sale-cairo-6th-of-october-hadaeq-october-tryq-hmd-zwyl/,5,1
EG-6899286,Apartment,cairo 6th of october hadaeq october compounds djlh blmz m mr lmrshdy,2500000.0,31250.0,80.0,2 rooms,1 bathroom,4.0,2026.0,0,Garden,Developer,"Security, Garden","Apartments 80 M² Semi Finished View Garden, fourth floor, two rooms, one baths",https://aqarmap.com.eg/en/listing/6899286-for-sale-cairo-6th-of-october-hadaeq-october-compounds-djlh-blmz-m-mr-lmrshdy/,2,1
EG-6753396,Penthouse,cairo new cairo compounds mountain view hyde park,9500000.0,57229.0,166.0,2 rooms,3 bathroom,4.0,2026.0,1,Garden,Developer,"Elevator, Water Meter, Security, Parking, Garden",,https://aqarmap.com.eg/en/listing/6753396-for-sale-cairo-new-cairo-compounds-mountain-view-hyde-park/,5,0
